config,seed,success,category,init_x,init_y,xy_dist,z_margin,max_lift_delta,lifted_ever,success_ever,final_phase,residual_active
gate_y_pos_035,20041,False,pick_lift_fail,0.5609036899408797,0.04414055807859752,0.1395338750582753,0.019993168965998454,0.0,False,False,move_preplace,True
gate_y_pos_035,20042,True,success,0.5489073035221895,-0.030360582020551367,0.014582163305998024,0.029892244579767357,0.10676643716572554,True,True,done,False
gate_y_pos_035,20043,True,success,0.5319144504624543,-0.008417087974580219,0.014842839908410833,0.02989224457773365,0.11091319801998045,True,True,done,False
gate_y_pos_035,20044,True,success,0.5309950838798909,-0.03231401313391622,0.01754673954665538,0.02989224457254247,0.10598972032134446,True,True,done,False
gate_y_pos_035,20045,True,success,0.4907573739237498,-0.035620240259842444,0.013394526683709634,0.02989224415171199,0.0949353983836223,True,True,done,False
gate_y_pos_035,20046,True,success,0.4998740576035798,-0.032697751389226655,0.014927093493437849,0.02989224457964701,0.10450626976286981,True,True,done,False
gate_y_pos_035,20047,True,success,0.5165420146585685,-0.04759881254486414,0.02399084230912762,0.029892244579361904,0.1058745809047621,True,True,done,False
gate_y_pos_035,20048,False,place_xy_fail,0.5194601179241859,0.043981892457375264,0.11028036346389676,0.019993168965998454,0.04035111795808333,True,False,done,True
gate_y_pos_035,20049,True,success,0.49003267293158087,0.008460199608071123,0.008045115971940452,0.029892244542586432,0.10452444404387662,True,True,done,False
gate_y_pos_035,20050,True,success,0.5450508201012151,-0.043936609022992575,0.01142646920973922,0.029892244579565963,0.10867896596776472,True,True,done,False
gate_y_pos_035,20051,True,success,0.48909342936816597,-0.057688465598297906,0.013007341215997599,0.029892244577807592,0.0991017439818862,True,True,done,False
gate_y_pos_035,20052,True,success,0.5551540954187749,0.039787142933106985,0.029379323213024174,0.029892244579779348,0.10449547619038246,True,True,done,True
gate_y_pos_035,20053,False,pick_lift_fail,0.5594770483482779,-0.0542198958699726,0.24619667400656073,0.019993168965998454,0.0026888560900375502,False,False,move_release,False
gate_y_pos_035,20054,False,pick_lift_fail,0.565557625210028,-0.015779712304258744,0.19963811974614182,0.019993168965998454,0.00016190537254590076,False,False,move_preplace,False
gate_y_pos_035,20055,True,success,0.5059019120524358,-0.04842844649156187,0.019148677562637446,0.029892244579221572,0.10550326897553597,True,True,done,False
gate_y_pos_035,20056,True,success,0.517713063573271,0.007481800860586609,0.021886596646758526,0.029892244563249015,0.11198198356546096,True,True,done,False
gate_y_pos_035,20057,True,success,0.5338153824812828,0.01019129973110472,0.017461979338690353,0.02989224326506279,0.11402858333659105,True,True,done,False
gate_y_pos_035,20058,False,place_xy_fail,0.5220224614032032,0.03761141033620296,0.10627049825732907,0.019993168965998454,0.044408199827570716,True,False,done,True
gate_y_pos_035,20059,True,success,0.502938576147163,-0.05687102287609666,0.029104091718495904,0.029881356474644072,0.09272703799093396,True,True,done,False
gate_y_pos_035,20060,False,place_xy_fail,0.5348368275911589,0.049802172764807785,0.09822472349921947,0.019993168965998454,0.024441716073250852,True,False,done,True
gate_y_pos_035,20061,True,success,0.5285683020699129,0.03124564584507172,0.040058973828867916,0.02989224457971207,0.09339461926051751,True,True,done,False
gate_y_pos_035,20062,True,success,0.5116152993621578,-0.041503568543858387,0.01921711467920489,0.02989224457434969,0.1043800633105394,True,True,done,False
gate_y_pos_035,20063,True,success,0.5573234905028843,0.008544796418044828,0.015645556982876913,0.02989223410927333,0.11440249710395589,True,True,done,False
gate_y_pos_035,20064,True,success,0.510996886865738,-0.010385680601991201,0.01280469214575422,0.029892244579402538,0.10876213690630898,True,True,done,False
