attempt_index,seed,cube_x,cube_y,pick_success,place_success,lift_delta,final_lift_delta,xy_dist,z_margin,num_success_so_far
70,40071,0.5483708732368481,0.07830021677551173,True,True,0.08448918243812686,0.08448918243812686,0.04104118130205138,0.02989223737534119,54
71,40072,0.5353977787215721,0.04713878498659388,True,True,0.10098019684526438,0.10098019684526438,0.025755602419527537,0.029892244579782457,55
72,40073,0.5346322151653861,0.0570240252465624,False,False,0.0,0.0,0.11234239711934936,0.019993168965998454,55
73,40074,0.5191200408770544,0.07236179751596267,True,True,0.10039614117111717,0.10039614117111717,0.025122768846502604,0.029892244579782457,56
74,40075,0.5351293803762265,0.0391307362236822,True,True,0.1018058098483039,0.1018058098483039,0.024509502505578495,0.029892244579782457,57
75,40076,0.5213563002005561,0.029867541051937667,True,True,0.10191714789654349,0.10191714789654349,0.024051425119970677,0.029892244579782457,58
76,40077,0.4927646116374118,0.027001749580749645,True,True,0.09666048932268456,0.09666048932268456,0.01584638732007244,0.029892244579782457,59
77,40078,0.522614529284598,0.04916509162701505,True,True,0.1003098885526219,0.1003098885526219,0.0241296429960486,0.029892244579782457,60
78,40079,0.509348525416645,0.07396652195258041,True,True,0.09364014715788227,0.09364014715788227,0.026577636864382477,0.029892244579782457,61
79,40080,0.4987734859340439,0.065378684978889,True,True,0.09921533053853326,0.09921533053853326,0.04536885157127237,0.029892244579782457,62
80,40081,0.5253824912039979,0.0525666491485869,False,False,0.0,0.0,0.11048218347788803,0.019993168965998454,62
81,40082,0.5168230137965097,0.032760017575403075,True,True,0.09806500615727765,0.09806500615727765,0.046134982890069565,0.02989223465003099,63
82,40083,0.5228913280985874,0.07744577006537058,False,False,9.200201585457535e-06,9.200201585457535e-06,0.13326867388344713,0.019993168965998454,63
83,40084,0.5111844861564588,0.036154915402643276,True,True,0.09977655687934983,0.09977655687934983,0.03399486427246039,0.029892244579782457,64
84,40085,0.5035285255377495,0.04012701266065864,True,True,0.10371496861537977,0.10371496861537977,0.03973864803055184,0.029892244579782457,65
85,40086,0.5486882695424744,0.0474879712567578,True,True,0.09890607550783415,0.09889519248470302,0.02387269424215749,0.029892244579782457,66
86,40087,0.541214345573795,0.06546327547430644,True,True,0.09862055619637933,0.09831512532157505,0.02412508147044535,0.029892244579782457,67
87,40088,0.49557088475118943,0.0574310134967589,False,False,1.669175908602938e-11,1.3322676295501878e-15,0.09351056548069424,0.019993168965999786,67
88,40089,0.5073133609586432,0.03746233060433644,True,True,0.09923354453774857,0.09922858945715562,0.042088631511587406,0.02989224457753603,68
89,40090,0.5340728729550953,0.026430707242344406,True,True,0.10190514914081517,0.10190514914081517,0.04085913770884462,0.029892244579782457,69
90,40091,0.5389294516353038,0.06406400594019178,True,True,0.09867465906188344,0.09867465906188344,0.023974289274556488,0.029892244579782457,70
91,40092,0.5484466295657748,0.034619347118487014,True,True,0.09890838537236424,0.09882717706758926,0.04265082311064658,0.029892244579782457,71
92,40093,0.4933658743835697,0.054726547620926075,False,False,8.881784197001252e-16,8.881784197001252e-16,0.09417763295603516,0.01999316896599934,71
93,40094,0.507188209470624,0.040329532061045545,True,True,0.09929288030210248,0.09929288030210248,0.045682885359152825,0.029892244579782457,72
94,40095,0.5261349190351013,0.025825438912358674,True,True,0.10019179437977566,0.10019088476668658,0.022976164361786518,0.029892244579782457,73
95,40096,0.4932205963188238,0.03462794529411176,True,True,0.09933579878000964,0.09933579878000964,0.016860821243506685,0.029892244579782457,74
96,40097,0.5172344154559314,0.0349837413414702,True,True,0.09765822573701821,0.09765822573701821,0.02478832167729239,0.029892244579782457,75
97,40098,0.5295819947858673,0.07191068537912185,True,True,0.10078397491375246,0.10078397491375246,0.02484917579162945,0.029892244579782457,76
98,40099,0.5236697995745465,0.054273738554316275,False,False,0.0,0.0,0.10776574012323083,0.019993168965998454,76
99,40100,0.492079737666141,0.03241577624053387,True,True,0.09672487620902626,0.09672487620902626,0.016878322885510135,0.029892244579782457,77
100,40101,0.5296039518408737,0.025320291518313956,True,True,0.10114071077119968,0.10114071077119968,0.04197103129537193,0.029892244579782457,78
101,40102,0.5462170746582865,0.03561347476603306,True,True,0.09836790880030089,0.09836790880030089,0.022744162545541975,0.029892244579782457,79
102,40103,0.5221165876882897,0.0540994545968706,False,False,0.0,0.0,0.10703593312127611,0.019993168965998454,79
103,40104,0.4953193238327282,0.06482112192090547,True,True,0.0928335053004039,0.0928335053004039,0.02416648237432123,0.029892244579782457,80
104,40105,0.5476027968693417,0.06483283151049432,False,False,3.794742298168785e-13,3.794742298168785e-13,0.12514703725873777,0.019993168965998454,80
105,40106,0.5020145059158265,0.05738608007405675,False,False,2.4466428882874425e-11,1.9984014443252818e-15,0.095364019109961,0.019993168966000452,80
106,40107,0.5366758495430574,0.033923719155637536,True,True,0.09965275460840117,0.09950181608427289,0.03331849355699108,0.029892244579782457,81
107,40108,0.5304282341442464,0.07398413418050134,True,True,0.10090700056765467,0.10090700056765467,0.04694697630352166,0.029892244579782457,82
108,40109,0.5365035116720362,0.03956378711330592,True,True,0.09958666368893643,0.09949234247079963,0.033053816564181215,0.029892244579782457,83
109,40110,0.5186106187820543,0.026659469268738568,True,True,0.0943273756461056,0.0943273756461056,0.02040731690241752,0.029892244579782457,84
110,40111,0.5110018705334057,0.07761715256377695,False,False,4.52096804437474e-10,4.52096804437474e-10,0.10021755175325656,0.019993168965998454,84
111,40112,0.5413845844165541,0.024834574181635365,True,True,0.09898040279602749,0.09852055613147548,0.04611700830640917,0.029892244579782457,85
112,40113,0.5074983845876806,0.021966417114908078,True,True,0.10219417067510572,0.10219417067510572,0.02634288553896851,0.029892244579782457,86
113,40114,0.5216709718865841,0.06361236511561956,True,True,0.10068890279753617,0.10068890279753617,0.04723997498002996,0.029892244579782457,87
114,40115,0.5392394269421401,0.05988438866549124,False,False,0.0,0.0,0.11388490858933799,0.019993168965998454,87
115,40116,0.5074343064889514,0.07370766008895813,True,True,0.09937561101162995,0.09937561101162995,0.02435595215596723,0.029892244579782457,88
116,40117,0.5464923710754338,0.0768853391965695,False,False,9.969802761133906e-14,9.969802761133906e-14,0.14141118982097645,0.019993168965998454,88
117,40118,0.5088412731362868,0.07549562778527132,False,False,3.8787328904277274e-10,3.8787328904277274e-10,0.10002804046944944,0.019993168965998454,88
118,40119,0.5383358327232554,0.05141155102099622,True,True,0.09903559649287619,0.09888103045386787,0.02417701084169125,0.029892244579782457,89
119,40120,0.5210360730519847,0.05245030206043,False,False,0.0,0.0,0.108027625296215,0.019993168965998454,89
120,40121,0.5228006601480157,0.030639309264574678,True,True,0.10165884009934878,0.10160993010783659,0.04586473552805077,0.029892244579782457,90
