index,seed,cube_x,cube_y,success,episode_length,lift_delta,xy_dist,z_margin,total_samples
25,40031,0.5374137759208679,0.0671161487698555,True,203,0.09915171005935908,0.023543406501996395,0.029892244579782457,5075
26,40032,0.5041938424110413,0.037383824586868286,True,203,0.09490149674608084,0.022776355173123514,0.029892244579782457,5278
27,40033,0.532189130783081,0.023765718564391136,True,203,0.1023438999829347,0.046008384337866394,0.029892244579782457,5481
28,40034,0.5157759785652161,0.047635577619075775,True,203,0.1004409981415264,0.04669875756165179,0.029892244579782457,5684
29,40037,0.4910844564437866,0.029005208984017372,True,203,0.09655895219250854,0.03795527694501189,0.029892244579782457,5887
30,40038,0.5372055768966675,0.07813218981027603,True,203,0.09952892516090728,0.041683002719345025,0.029892244579782457,6090
31,40039,0.5339074730873108,0.0318279005587101,True,203,0.09911249441348957,0.03879167950896456,0.029892244579782457,6293
32,40040,0.537571370601654,0.0651870146393776,True,203,0.10096099023268934,0.02442009405564238,0.029892244579782457,6496
33,40041,0.5294474363327026,0.0486704520881176,True,203,0.1010931566426303,0.02415710872513635,0.029892244579782457,6699
34,40042,0.5466374754905701,0.024202631786465645,True,203,0.10040631127499089,0.02417085409332914,0.029892244579782457,6902
35,40044,0.5363056659698486,0.051147736608982086,True,203,0.1006269548605383,0.023695477882026725,0.029892244579782457,7105
36,40045,0.4944629371166229,0.0722900927066803,True,203,0.09492372719341846,0.01801171917785745,0.029892244579782457,7308
37,40047,0.5020114779472351,0.06395012140274048,True,203,0.09448095908907161,0.028895589940762682,0.029892244579782457,7511
38,40049,0.5066356658935547,0.04758321866393089,True,203,0.10046784011111387,0.036615213864503136,0.029892244579782457,7714
39,40052,0.5049209594726562,0.04670250043272972,True,203,0.09648934961361388,0.04445360351703288,0.029892244579782457,7917
40,40053,0.5077725052833557,0.06368567049503326,True,203,0.09760273520971574,0.03756417008639247,0.029892244579782457,8120
41,40054,0.5022889375686646,0.02081579528748989,True,203,0.0949467073293988,0.021676119456418987,0.029892244579782457,8323
42,40055,0.5417187809944153,0.04218902066349983,True,203,0.09024041493918311,0.024858933375094146,0.029892244579782457,8526
43,40056,0.5178693532943726,0.038394633680582047,True,203,0.10043019251920837,0.04690548937858671,0.029892244579782457,8729
44,40057,0.5421477556228638,0.04029349982738495,True,203,0.10041467991520836,0.023480916881775848,0.029892244579782457,8932
45,40059,0.49892905354499817,0.029409492388367653,True,203,0.09388555616710459,0.03252531792787794,0.029892244579782457,9135
46,40060,0.4931011199951172,0.04204941168427467,True,203,0.09790754110878197,0.01697102717220117,0.029892244579782457,9338
47,40061,0.5048642754554749,0.04098265990614891,True,203,0.09979231819131407,0.02534984004387985,0.029892244579782457,9541
48,40062,0.5328531265258789,0.06473933905363083,True,203,0.09922857514038719,0.023903497013289775,0.029892244579782457,9744
49,40065,0.5432624220848083,0.06757767498493195,True,203,0.09771001876079777,0.023815617524029886,0.029892244579782457,9947
50,40066,0.5424677729606628,0.02759813517332077,True,203,0.09885253979501685,0.04227107953780985,0.029892244579782457,10150
51,40067,0.5436829328536987,0.022580761462450027,True,203,0.09963495334763972,0.023415944903432618,0.029892244579782457,10353
52,40068,0.5330559015274048,0.03665797784924507,True,203,0.09954160714221594,0.023768375650799336,0.029892244579782457,10556
53,40070,0.5117583870887756,0.02964589186012745,True,203,0.09966574505218784,0.020300792925699723,0.029892244579782457,10759
54,40071,0.548370897769928,0.07830021530389786,True,203,0.08274132254493027,0.02377571302149672,0.029892244579782457,10962
55,40072,0.5353977680206299,0.04713878408074379,True,203,0.09989027403883632,0.027561516173334865,0.029892244579782457,11165
56,40074,0.5191200375556946,0.07236179709434509,True,203,0.10364032957777147,0.02473234577385976,0.029892244579782457,11368
57,40075,0.5351293683052063,0.03913073614239693,True,203,0.09890059315223088,0.02479975299087277,0.029892244579782457,11571
58,40076,0.5213562846183777,0.029867541044950485,True,203,0.10043867343944601,0.04221823203850396,0.02989224457993167,11774
59,40077,0.4927646219730377,0.027001749724149704,True,203,0.10107099610803627,0.020655702312736945,0.029892244579782457,11977
60,40078,0.5226145386695862,0.049165092408657074,True,203,0.10070984345741674,0.0476426613460414,0.04225499487077711,12180
61,40079,0.5093485116958618,0.07396652549505234,True,203,0.09780193136297544,0.025858179061164475,0.029892244579782457,12383
62,40080,0.4987734854221344,0.06537868827581406,True,203,0.09575088362279227,0.036017905764702,0.029892244579782457,12586
63,40082,0.5168229937553406,0.03276001662015915,True,203,0.09930955328997393,0.0234193737444242,0.029892244579782457,12789
64,40084,0.5111845135688782,0.036154914647340775,True,203,0.09231914764073723,0.025440706214914115,0.029892244579782457,12992
65,40085,0.5035285353660583,0.04012701287865639,True,203,0.10239978674119876,0.04115799419963606,0.029892244579782457,13195
66,40086,0.5486882925033569,0.04748797044157982,True,203,0.09732300677032657,0.023238450363138017,0.029892244579782457,13398
67,40087,0.5412143468856812,0.06546327471733093,True,203,0.09482767409900639,0.024001361331764105,0.029892244579782457,13601
68,40089,0.5073133707046509,0.03746233135461807,True,203,0.10076494148572701,0.04519787008375941,0.029892244579782457,13804
69,40090,0.5340728759765625,0.026430707424879074,True,203,0.10212212600965764,0.042921403810483275,0.029892244579782457,14007
70,40091,0.5389294624328613,0.06406400352716446,True,203,0.10042683125601504,0.02422162038692719,0.029892244579782457,14210
71,40092,0.5484466552734375,0.034619346261024475,True,203,0.09820743177801639,0.024186984306127143,0.029892244579782457,14413
72,40094,0.5071882009506226,0.04032953083515167,True,203,0.10181206093820228,0.043579462252844675,0.029892244579782457,14616
73,40095,0.5261349081993103,0.025825439020991325,True,203,0.10092738296878911,0.02343387620862681,0.029892244579782457,14819
74,40096,0.49322059750556946,0.034627944231033325,True,203,0.09782868290720192,0.016740722320465605,0.029892244579782457,15022
75,40097,0.5172344446182251,0.034983742982149124,True,203,0.10194072988814296,0.02455908576330778,0.029892244579782457,15225
76,40098,0.5295820236206055,0.07191068679094315,True,203,0.10048184237442581,0.024491345540007523,0.029892244579782457,15428
77,40100,0.4920797348022461,0.03241577744483948,True,203,0.09775895411536362,0.018199472313007437,0.029892244579782457,15631
78,40101,0.5296039581298828,0.02532029151916504,False,0,0.0,0.0,0.0,15631
79,40102,0.5462170839309692,0.03561347350478172,True,203,0.09843864202266905,0.04069648285133299,0.029892244579782457,15834
80,40104,0.49531933665275574,0.06482112407684326,True,203,0.09571237235901986,0.01653220480496156,0.029892244579782457,16037
81,40107,0.5366758704185486,0.03392371907830238,True,203,0.10088140113607191,0.04371618482046974,0.02989224457979356,16240
82,40108,0.5304282307624817,0.07398413121700287,True,203,0.10135221589028443,0.04817577750795617,0.029892230394777286,16443
83,40109,0.5365034937858582,0.03956378623843193,True,203,0.10067998933246347,0.02422660618607071,0.029892244579782457,16646
84,40110,0.5186105966567993,0.026659470051527023,True,203,0.09336071839249738,0.04531635491686545,0.029892244579782457,16849
85,40112,0.5413845777511597,0.02483457326889038,True,203,0.10200257478243469,0.043086929711474424,0.029892244579782457,17052
86,40113,0.5074983835220337,0.021966416388750076,True,203,0.09831861144072973,0.03667846288700006,0.029892244579782457,17255
87,40114,0.5216709971427917,0.06361236423254013,True,203,0.09900887242824608,0.04642101465265385,0.029892244579782457,17458
88,40116,0.5074343085289001,0.07370766252279282,True,203,0.10172940949362075,0.024575317757166763,0.029892244579782457,17661
89,40119,0.5383358597755432,0.051411550492048264,True,203,0.09900780221445471,0.023866076792005614,0.029892244579782457,17864
90,40121,0.5228006839752197,0.03063930943608284,True,203,0.10146543039346567,0.02439532864841275,0.029892244579782457,18067
91,40122,0.5452414155006409,0.0667743980884552,False,0,0.0,0.0,0.0,18067
